"Step","base_config_0118 - train_10m_u_component_of_wind_lwrmse","base_config_0118 - train_10m_u_component_of_wind_lwrmse__MIN","base_config_0118 - train_10m_u_component_of_wind_lwrmse__MAX"
"34164","1.5377958290949536","1.5377958290949536","1.5377958290949536"
"34167","1.5409632367117683","1.5409632367117683","1.5409632367117683"
"34170","1.5301634881561457","1.5301634881561457","1.5301634881561457"
"34173","1.5154861352851452","1.5154861352851452","1.5154861352851452"
"34176","1.5454431672869777","1.5454431672869777","1.5454431672869777"
"34179","1.5503276707316969","1.5503276707316969","1.5503276707316969"
"34182","1.5404574524625285","1.5404574524625285","1.5404574524625285"
"34185","1.513824597407389","1.513824597407389","1.513824597407389"
"34188","1.5429243874700236","1.5429243874700236","1.5429243874700236"
"34191","1.5307090973552355","1.5307090973552355","1.5307090973552355"
"34194","1.4999169626778333","1.4999169626778333","1.4999169626778333"
"34197","1.559914001852177","1.559914001852177","1.559914001852177"
"34200","1.5518204203314958","1.5518204203314958","1.5518204203314958"
"34203","1.5745417439858223","1.5745417439858223","1.5745417439858223"
"34206","1.5858243494591489","1.5858243494591489","1.5858243494591489"
"34209","1.5280158541068425","1.5280158541068425","1.5280158541068425"
"34212","1.5397081038082394","1.5397081038082394","1.5397081038082394"
"34215","1.5479798533041733","1.5479798533041733","1.5479798533041733"
"34218","1.5422048952030198","1.5422048952030198","1.5422048952030198"
"34221","1.555992403264503","1.555992403264503","1.555992403264503"
"34224","1.5682515112470607","1.5682515112470607","1.5682515112470607"
"34227","1.5836636748692925","1.5836636748692925","1.5836636748692925"
"34230","1.5490658948346945","1.5490658948346945","1.5490658948346945"
"34233","1.521184815990397","1.521184815990397","1.521184815990397"
"34236","1.52531958533999","1.52531958533999","1.52531958533999"
"34239","1.5169458746360807","1.5169458746360807","1.5169458746360807"
"34242","1.5440827169811024","1.5440827169811024","1.5440827169811024"
"34245","1.5236007552690627","1.5236007552690627","1.5236007552690627"
"34248","1.539923163207583","1.539923163207583","1.539923163207583"
"34251","1.5189512829026757","1.5189512829026757","1.5189512829026757"
"34254","1.5907071972176752","1.5907071972176752","1.5907071972176752"
"34257","1.5694711805575032","1.5694711805575032","1.5694711805575032"
"34260","1.5336374026151067","1.5336374026151067","1.5336374026151067"
"34263","1.561348212302622","1.561348212302622","1.561348212302622"
"34266","1.5314146614723916","1.5314146614723916","1.5314146614723916"
"34269","1.5569651264398046","1.5569651264398046","1.5569651264398046"
"34272","1.5448188776736302","1.5448188776736302","1.5448188776736302"
"34275","1.5548200509516936","1.5548200509516936","1.5548200509516936"
"34278","1.5245061145848988","1.5245061145848988","1.5245061145848988"
"34281","1.5683835345777921","1.5683835345777921","1.5683835345777921"
"34284","1.5587312178197315","1.5587312178197315","1.5587312178197315"
"34287","1.5469243378038326","1.5469243378038326","1.5469243378038326"
"34290","1.5559675576588754","1.5559675576588754","1.5559675576588754"
"34293","1.557268395294913","1.557268395294913","1.557268395294913"
"34296","1.513035460801779","1.513035460801779","1.513035460801779"
"34299","1.5191791655662676","1.5191791655662676","1.5191791655662676"
"34302","1.5080339007212278","1.5080339007212278","1.5080339007212278"
"34305","1.5245772154431174","1.5245772154431174","1.5245772154431174"
"34308","1.545008170142256","1.545008170142256","1.545008170142256"
"34311","1.5289721043402162","1.5289721043402162","1.5289721043402162"
"34314","1.5274024848899028","1.5274024848899028","1.5274024848899028"
"34317","1.5308079962368784","1.5308079962368784","1.5308079962368784"
"34320","1.5648809201829095","1.5648809201829095","1.5648809201829095"
"34323","1.5793337096922837","1.5793337096922837","1.5793337096922837"
"34326","1.5443616681043535","1.5443616681043535","1.5443616681043535"
"34329","1.549629251472935","1.549629251472935","1.549629251472935"
"34332","1.558823301554748","1.558823301554748","1.558823301554748"
"34335","1.5745815194821169","1.5745815194821169","1.5745815194821169"
"34338","1.504627446324414","1.504627446324414","1.504627446324414"
"34341","1.5222957437114657","1.5222957437114657","1.5222957437114657"
"34344","1.5669682106576488","1.5669682106576488","1.5669682106576488"
"34347","1.5702811595808874","1.5702811595808874","1.5702811595808874"
"34350","1.5166074160996432","1.5166074160996432","1.5166074160996432"
"34353","1.5209426915390416","1.5209426915390416","1.5209426915390416"
"34356","1.5549066633456117","1.5549066633456117","1.5549066633456117"
"34359","1.5243974040585349","1.5243974040585349","1.5243974040585349"
"34362","1.5170786357906403","1.5170786357906403","1.5170786357906403"
"34365","1.5561929169404607","1.5561929169404607","1.5561929169404607"
"34368","1.5616194785167987","1.5616194785167987","1.5616194785167987"
"34371","1.5161945423960974","1.5161945423960974","1.5161945423960974"
"34374","1.5690063862799306","1.5690063862799306","1.5690063862799306"
"34377","1.5146497410141242","1.5146497410141242","1.5146497410141242"
"34380","1.5092997617684683","1.5092997617684683","1.5092997617684683"
"34383","1.5235232830595618","1.5235232830595618","1.5235232830595618"
"34386","1.5515712313553023","1.5515712313553023","1.5515712313553023"
"34389","1.5162380598732375","1.5162380598732375","1.5162380598732375"
"34392","1.5534983781434326","1.5534983781434326","1.5534983781434326"
"34395","1.580481584554962","1.580481584554962","1.580481584554962"
"34398","1.5706699200525782","1.5706699200525782","1.5706699200525782"
"34401","1.5470660455069725","1.5470660455069725","1.5470660455069725"
"34404","1.5234340173464385","1.5234340173464385","1.5234340173464385"
"34407","1.5901602160235542","1.5901602160235542","1.5901602160235542"
"34410","1.6025560113398019","1.6025560113398019","1.6025560113398019"
"34413","1.5490757762499354","1.5490757762499354","1.5490757762499354"
"34416","1.5451096948125107","1.5451096948125107","1.5451096948125107"
"34419","1.5619842363081191","1.5619842363081191","1.5619842363081191"
"34422","1.5358065513076182","1.5358065513076182","1.5358065513076182"
"34425","1.543134103125381","1.543134103125381","1.543134103125381"
"34428","1.5391779738966693","1.5391779738966693","1.5391779738966693"
"34431","1.6015065496714511","1.6015065496714511","1.6015065496714511"
"34434","1.5748501308451703","1.5748501308451703","1.5748501308451703"
"34437","1.596281566772391","1.596281566772391","1.596281566772391"
"34440","1.5044310125557872","1.5044310125557872","1.5044310125557872"
"34443","1.5203697587958458","1.5203697587958458","1.5203697587958458"
"34446","1.5565371668562484","1.5565371668562484","1.5565371668562484"
"34449","1.5270328314450834","1.5270328314450834","1.5270328314450834"
"34452","1.515075007876304","1.515075007876304","1.515075007876304"
"34455","1.5741197037836347","1.5741197037836347","1.5741197037836347"
"34458","1.55430927414612","1.55430927414612","1.55430927414612"
"34461","1.529432584706279","1.529432584706279","1.529432584706279"
"34464","1.4967230391655217","1.4967230391655217","1.4967230391655217"
"34467","1.5855258357830952","1.5855258357830952","1.5855258357830952"
"34470","1.568064582474151","1.568064582474151","1.568064582474151"
"34473","1.5208798910884063","1.5208798910884063","1.5208798910884063"
"34476","1.5857374375550644","1.5857374375550644","1.5857374375550644"
"34479","1.5424282216060892","1.5424282216060892","1.5424282216060892"
"34482","1.538611749220617","1.538611749220617","1.538611749220617"
"34485","1.5536649752078038","1.5536649752078038","1.5536649752078038"
"34488","1.5969452892043567","1.5969452892043567","1.5969452892043567"
"34491","1.559579084090709","1.559579084090709","1.559579084090709"
"34494","1.5470830752550502","1.5470830752550502","1.5470830752550502"
"34497","1.5378667571111824","1.5378667571111824","1.5378667571111824"
"34500","1.5511072741219252","1.5511072741219252","1.5511072741219252"
"34503","1.564366890050033","1.564366890050033","1.564366890050033"
"34506","1.5207159598497162","1.5207159598497162","1.5207159598497162"
"34509","1.5383661353919336","1.5383661353919336","1.5383661353919336"
"34512","1.542864076895632","1.542864076895632","1.542864076895632"
"34515","1.5564368654160792","1.5564368654160792","1.5564368654160792"
"34518","1.5828725603942144","1.5828725603942144","1.5828725603942144"
"34521","1.5592234941398715","1.5592234941398715","1.5592234941398715"
"34524","1.5282001801530007","1.5282001801530007","1.5282001801530007"
"34527","1.5235677270007097","1.5235677270007097","1.5235677270007097"
"34530","1.5272639538221275","1.5272639538221275","1.5272639538221275"
"34533","1.6138841455067399","1.6138841455067399","1.6138841455067399"
"34536","1.5389156319078028","1.5389156319078028","1.5389156319078028"
"34539","1.5269056484096613","1.5269056484096613","1.5269056484096613"
"34542","1.5192671955469226","1.5192671955469226","1.5192671955469226"
"34545","1.5758903363748757","1.5758903363748757","1.5758903363748757"
"34548","1.5402809912976478","1.5402809912976478","1.5402809912976478"
"34551","1.5385574527164767","1.5385574527164767","1.5385574527164767"
"34554","1.5334029929560151","1.5334029929560151","1.5334029929560151"
"34557","1.5172959416511729","1.5172959416511729","1.5172959416511729"
"34560","1.5410182858244508","1.5410182858244508","1.5410182858244508"
"34563","1.5524106962392534","1.5524106962392534","1.5524106962392534"
"34566","1.5408203516603673","1.5408203516603673","1.5408203516603673"
"34569","1.5345611410303994","1.5345611410303994","1.5345611410303994"
"34572","1.5344736655137885","1.5344736655137885","1.5344736655137885"
"34575","1.5381364878643726","1.5381364878643726","1.5381364878643726"
"34578","1.530247456968235","1.530247456968235","1.530247456968235"
"34581","1.5336694463994511","1.5336694463994511","1.5336694463994511"
"34584","1.5329945366624305","1.5329945366624305","1.5329945366624305"
"34587","1.5286362966498137","1.5286362966498137","1.5286362966498137"
"34590","1.5684812491456512","1.5684812491456512","1.5684812491456512"
"34593","1.5621563763094233","1.5621563763094233","1.5621563763094233"
"34596","1.5483078560594772","1.5483078560594772","1.5483078560594772"
"34599","1.538017994477581","1.538017994477581","1.538017994477581"
"34602","1.5059245148192968","1.5059245148192968","1.5059245148192968"
"34605","1.5248187463717167","1.5248187463717167","1.5248187463717167"
"34608","1.5204904924669662","1.5204904924669662","1.5204904924669662"
"34611","1.52209529631673","1.52209529631673","1.52209529631673"
"34614","1.5297907057229378","1.5297907057229378","1.5297907057229378"
"34617","1.5423102613825963","1.5423102613825963","1.5423102613825963"
"34620","1.5640373170472988","1.5640373170472988","1.5640373170472988"
"34623","1.6105418577439456","1.6105418577439456","1.6105418577439456"
"34626","1.5799009853400894","1.5799009853400894","1.5799009853400894"
"34629","1.5502121586161102","1.5502121586161102","1.5502121586161102"
"34632","1.5949484388192612","1.5949484388192612","1.5949484388192612"
"34635","1.5315727705189324","1.5315727705189324","1.5315727705189324"
"34638","1.554073288643806","1.554073288643806","1.554073288643806"
"34641","1.5731855442580773","1.5731855442580773","1.5731855442580773"
"34644","1.5665217058006544","1.5665217058006544","1.5665217058006544"
"34647","1.569054591720875","1.569054591720875","1.569054591720875"
"34650","1.5220674044546103","1.5220674044546103","1.5220674044546103"
"34653","1.5012971046833288","1.5012971046833288","1.5012971046833288"
"34656","1.5199650579659194","1.5199650579659194","1.5199650579659194"
"34659","1.5511553213108356","1.5511553213108356","1.5511553213108356"
"34662","1.5339264384499327","1.5339264384499327","1.5339264384499327"
"34665","1.5369494339654253","1.5369494339654253","1.5369494339654253"
"34668","1.5292450234059345","1.5292450234059345","1.5292450234059345"
"34671","1.534809191113952","1.534809191113952","1.534809191113952"
"34674","1.5548899197802553","1.5548899197802553","1.5548899197802553"
"34677","1.5622604195828989","1.5622604195828989","1.5622604195828989"
"34680","1.524578239229801","1.524578239229801","1.524578239229801"
"34683","1.533818859102569","1.533818859102569","1.533818859102569"
"34686","1.552508738886052","1.552508738886052","1.552508738886052"
"34689","1.5230476007088152","1.5230476007088152","1.5230476007088152"
"34692","1.526616674522227","1.526616674522227","1.526616674522227"
"34695","1.5550823994883662","1.5550823994883662","1.5550823994883662"
"34698","1.5575886145756388","1.5575886145756388","1.5575886145756388"
"34701","1.543614803041387","1.543614803041387","1.543614803041387"
"34704","1.555950749914511","1.555950749914511","1.555950749914511"
"34707","1.5409566537584964","1.5409566537584964","1.5409566537584964"
"34712","1.5592262219002306","1.5450526514676381","1.5679381403093697"
"34715","1.5444299480338257","1.5256174922305301","1.5774510990427493"
"34718","1.53494953712219","1.5175477755772875","1.5577405505649176"
"34721","1.5326063171456803","1.5248572952473083","1.5360812272819417"
"34724","1.5459805619749238","1.5244353034919351","1.5829062268614371"
"34727","1.5695100643207538","1.5606483660671375","1.5778999985935012"
"34730","1.524328607831651","1.5065667179566904","1.560190895020049"
"34733","1.5453765784941678","1.53735887314732","1.558024786588649"
"34736","1.5513831926867365","1.5345264160570664","1.5786587303590518"
"34739","1.5345082487116837","1.5144790844755471","1.5457750282595129"
"34742","1.5555424311110666","1.5328951466018617","1.574258057780186"
"34745","1.5327851857235713","1.5264465675740975","1.5418843542154916"
"34748","1.553978236125514","1.5380627277744232","1.5668211078957368"
"34751","1.5655895050828008","1.5505806955431356","1.5885774210614558"
"34754","1.5231886993912804","1.512566758475741","1.5350106481021162"
"34757","1.5423046021555986","1.5344630278651812","1.5470115015572223"
"34760","1.5541888243561301","1.5379873567694808","1.5631301753727065"
"34763","1.5627400396656215","1.5574460457211199","1.5683246393678447"
"34766","1.5168406075516259","1.5070882082816703","1.531769646441018"
"34769","1.5444310711173508","1.5053224535756151","1.586017929021852"
"34772","1.5360996511124094","1.5251351433458165","1.548560942960355"
"34775","1.540481153247806","1.5223085087433679","1.573122998645415"
"34778","1.5178257870882934","1.4979711175639638","1.5490620718281087"
"34781","1.5211270357356668","1.5152384223097688","1.5304984948019758"
"34784","1.5255576676548364","1.5046846006106047","1.5549962235398205"
"34787","1.5280983796210832","1.5193660197377177","1.5407161505497347"
"34790","1.5306003112821338","1.5145114617758135","1.5523433899287276"
"34793","1.562442638934525","1.5399477494268674","1.5796553102055548"
"34796","1.5711204400999492","1.5601946389599424","1.5783990067876963"
"34799","1.5475347973197715","1.5393222737369134","1.563820324507797"
"34802","1.5437275377963606","1.534588710933875","1.5528663646588463"
"34805","1.5518056737345904","1.5285684458797797","1.5733341771617455"
"34808","1.5228502912297237","1.503579250574879","1.5367683487338053"
"34811","1.5360067056482094","1.523125878487173","1.5474324295043596"
"34814","1.5423848990953715","1.5256318683062005","1.566174298245661"
"34817","1.5809427201271653","1.5537728193509228","1.6002416244066948"
"34820","1.5509852365775307","1.5424979965171832","1.5555550020182682"
"34823","1.5381918130106185","1.5154466146045436","1.5597067315603412"
"34826","1.558101563461003","1.5342860340052598","1.5982053987451432"
"34829","1.5334743188393531","1.5307246352822093","1.535318777101515"
"34832","1.534595724269982","1.5184071726226447","1.5480379952465328"
"34835","1.523812409942845","1.519727606024983","1.5278972138607068"
"34838","1.5680439461758298","1.543545077137642","1.5845822620250538"
"34841","1.5370871272716045","1.5301423764300703","1.547199120437878"
"34844","1.5821635589003522","1.5679521174476232","1.5905640030308756"
"34847","1.5871119742510975","1.57134650040619","1.606176938516896"
"34850","1.518310587168581","1.5031418732805413","1.5373081597573783"
"34853","1.5323274799902764","1.5189937985180173","1.5454288531196863"
"34856","1.5302356304788418","1.5242562418730632","1.5387486078297155"
"34859","1.5316817111380716","1.510750872827964","1.544494185945126"
"34862","1.5879913765379055","1.5719043653394684","1.5970933644908234"
"34865","1.5293338644514545","1.5124948054642455","1.5464543952475394"
"34868","1.5669797066092486","1.5517990726183937","1.581390748536242"
