"Relative Time (Process)","base_config_0118 - system/gpu.0.memoryAllocatedBytes","base_config_0118 - system/gpu.0.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.0.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.1.memoryAllocatedBytes","base_config_0118 - system/gpu.1.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.1.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.2.memoryAllocatedBytes","base_config_0118 - system/gpu.2.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.2.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.3.memoryAllocatedBytes","base_config_0118 - system/gpu.3.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.3.memoryAllocatedBytes__MAX"
"180.399952","34129969152","34129969152","34129969152","33444200448","33444200448","33444200448","34142552064","34142552064","34142552064","33456783360","33456783360","33456783360"
"180.402841","33481949184","33481949184","33481949184","33444200448","33444200448","33444200448","33494532096","33494532096","33494532096","33456783360","33456783360","33456783360"
"180.404462","33481949184","33481949184","33481949184","33444200448","33444200448","33444200448","34142691874.13","34142691874.13","34142691874.13","33456783360","33456783360","33456783360"
"180.40831","33484465766.4","33484465766.4","33484465766.4","33446856840.53","33446856840.53","33446856840.53","33497188488.53","33497188488.53","33497188488.53","33459439752.53","33459439752.53","33459439752.53"
"180.414341","33481949184","33481949184","33481949184","33444200448","33444200448","33444200448","33494532096","33494532096","33494532096","33456783360","33456783360","33456783360"
"180.421602","33481949184","33481949184","33481949184","33444200448","33444200448","33444200448","33494532096","33494532096","33494532096","33456783360","33456783360","33456783360"
"180.433051","33481949184","33481949184","33481949184","33444200448","33444200448","33444200448","33494532096","33494532096","33494532096","34104803328","34104803328","34104803328"
"180.443268","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"180.464611","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","34108997632","34108997632","34108997632"
"210.390783","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
