"Relative Time (Process)","base_config_0118 - system/gpu.process.0.gpu","base_config_0118 - system/gpu.process.0.gpu__MIN","base_config_0118 - system/gpu.process.0.gpu__MAX"
"1411.525005","91.6","91.6","91.6"
"1440.513814","99.73","99.73","99.73"
"1440.58296","99.8","99.8","99.8"
"1441.52646","99.93","99.93","99.93"
"1470.514674","99.87","99.87","99.87"
"1471.527424","99.27","99.27","99.27"
"1500.515599","100","100","100"
"1500.637665","99.53","99.53","99.53"
"1501.528399","100","100","100"
"1530.516597","99.73","99.73","99.73"
"1530.669172","93.33","93.33","93.33"
"1531.52938","99.87","99.87","99.87"
"1560.517601","100","100","100"
"1560.67099","100","100","100"
"1561.531717","93.4","93.4","93.4"
"1590.518564","100","100","100"
"1590.696972","99.8","99.8","99.8"
"1591.533731","99.47","99.47","99.47"
"1620.519437","99.87","99.87","99.87"
"1620.699914","100","100","100"
"1621.543024","99.93","99.93","99.93"
"1650.700966","99.93","99.93","99.93"
"1651.560298","88.6","88.6","88.6"
"1680.521419","99.93","99.93","99.93"
"1680.70341","99.53","99.53","99.53"
"1681.58767","97.93","97.93","97.93"
"1710.522292","99.53","99.53","99.53"
"1710.706086","99.93","99.93","99.93"
"1711.588666","99.87","99.87","99.87"
"1740.523162","99.8","99.8","99.8"
"1740.70785","99.93","99.93","99.93"
"1741.590055","99.8","99.8","99.8"
"1770.524137","99.4","99.4","99.4"
"1770.712058","99.67","99.67","99.67"
"1771.591","99.8","99.8","99.8"
"1800.525011","99.73","99.73","99.73"
"1800.725148","95","95","95"
"1801.601761","99.93","99.93","99.93"
"1830.525984","99.8","99.8","99.8"
"1830.726133","99.73","99.73","99.73"
"1831.610399","97.87","97.87","97.87"
"1860.526808","99.8","99.8","99.8"
"1860.728602","89.67","89.67","89.67"
"1861.614255","89.6","89.6","89.6"
"1890.527647","100","100","100"
"1890.729521","99.47","99.47","99.47"
"1891.616521","93.27","93.27","93.27"
"1920.528628","100","100","100"
"1920.742825","99.87","99.87","99.87"
"1921.619715","98.13","98.13","98.13"
"1950.529524","99.67","99.67","99.67"
"1950.745159","97.33","97.33","97.33"
"1951.785849","97","97","97"
"1980.544298","95.8","95.8","95.8"
"1980.746099","99.67","99.67","99.67"
"1981.808452","99.93","99.93","99.93"
"2010.54534","99.87","99.87","99.87"
"2010.746956","100","100","100"
"2011.813129","91.93","91.93","91.93"
"2040.546266","100","100","100"
"2040.750525","94.4","94.4","94.4"
