"Relative Time (Process)","base_config_0118 - system/gpu.0.memoryAllocated","base_config_0118 - system/gpu.0.memoryAllocated__MIN","base_config_0118 - system/gpu.0.memoryAllocated__MAX","base_config_0118 - system/gpu.1.memoryAllocated","base_config_0118 - system/gpu.1.memoryAllocated__MIN","base_config_0118 - system/gpu.1.memoryAllocated__MAX","base_config_0118 - system/gpu.2.memoryAllocated","base_config_0118 - system/gpu.2.memoryAllocated__MIN","base_config_0118 - system/gpu.2.memoryAllocated__MAX","base_config_0118 - system/gpu.3.memoryAllocated","base_config_0118 - system/gpu.3.memoryAllocated__MIN","base_config_0118 - system/gpu.3.memoryAllocated__MAX"
"240.473715","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"240.513271","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","79.42","79.42","79.42"
"270.398923","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"270.403343","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","77.91","77.91","77.91"
"270.417688","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"270.424761","77.97","77.97","77.97","77.88","77.88","77.88","77.99","77.99","77.99","77.91","77.91","77.91"
"270.438903","77.97","77.97","77.97","77.88","77.88","77.88","79.5","79.5","79.5","77.91","77.91","77.91"
"270.460727","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"270.480304","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"270.514256","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","79.42","79.42","79.42"
"271.092708","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"300.404415","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","77.91","77.91","77.91"
"300.408815","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"300.41919","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"300.428378","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"300.440879","77.97","77.97","77.97","77.88","77.88","77.88","79.5","79.5","79.5","77.91","77.91","77.91"
"300.461659","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"300.483212","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"300.51517","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","79.42","79.42","79.42"
"301.215458","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"330.407564","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","77.91","77.91","77.91"
"330.417803","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"330.42013","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"330.431997","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"330.462664","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"330.485686","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"330.51614","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","79.42","79.42","79.42"
"331.216411","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"360.408497","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","77.91","77.91","77.91"
"360.418676","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"360.423386","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"360.463903","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"360.493119","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"360.517017","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","79.42","79.42","79.42"
"361.219376","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"390.409429","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","77.91","77.91","77.91"
"390.421676","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"390.424369","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"390.465624","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"390.503034","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"390.518067","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","79.42","79.42","79.42"
"391.220196","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"420.422711","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"420.425362","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"420.468947","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"420.505356","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"420.519101","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","79.42","79.42","79.42"
"421.221109","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"450.425914","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"450.42634","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"450.469864","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"450.508671","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"450.519988","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","79.42","79.42","79.42"
"451.22211","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"480.427333","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"480.428677","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"480.470895","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"480.511162","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"480.520822","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","79.42","79.42","79.42"
"481.223084","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"510.428585","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"510.431383","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"510.472251","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"510.512967","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"510.521672","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","79.42","79.42","79.42"
"511.22566","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"540.42988","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"540.432399","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"540.473405","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"540.513809","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"540.526932","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","79.42","79.42","79.42"
"541.226696","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"570.430825","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"570.433671","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"570.47434","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"570.516525","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"570.527935","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","79.42","79.42","79.42"
"571.227718","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"600.43178","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"600.434921","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"600.475364","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"600.517439","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"600.530651","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","79.42","79.42","79.42"
"601.230102","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"630.432738","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"630.43602","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"630.476371","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"630.518372","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"630.535825","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","79.42","79.42","79.42"
"631.231035","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"660.434012","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"660.437044","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"660.477581","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"660.519211","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"660.536843","79.47","79.47","79.47","77.88","77.88","77.88","79.5","79.5","79.5","79.42","79.42","79.42"
"661.232018","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"690.435218","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"690.43794","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"690.478494","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"690.520212","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"691.233073","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"720.436471","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"720.439013","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"720.480222","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"721.235065","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"750.44004","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"750.481168","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"750.52443","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"751.236807","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"780.482415","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"780.526603","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"781.238124","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","79.42","79.42","79.42"
"810.44169","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"810.483376","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"810.528989","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"840.442705","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"840.530874","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"870.443834","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"870.48548","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"870.534213","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"900.445146","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"900.486397","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"900.536502","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"930.446101","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"930.48774","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"930.538639","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"960.449412","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"960.489042","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"960.544522","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"990.452328","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"990.490009","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"990.55188","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1020.453365","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1020.491496","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1020.554419","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1050.454584","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1050.493449","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1050.559376","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1080.468593","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1080.494909","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1080.567936","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1110.476364","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1110.496225","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1110.572097","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1140.477698","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1140.500134","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
