"Step","base_config_0118 - train_geopotential_level1000hPa_lwrmse","base_config_0118 - train_geopotential_level1000hPa_lwrmse__MIN","base_config_0118 - train_geopotential_level1000hPa_lwrmse__MAX"
"34527","129.2693129215762","129.2693129215762","129.2693129215762"
"34530","126.4178172771177","126.4178172771177","126.4178172771177"
"34533","144.18470747747543","144.18470747747543","144.18470747747543"
"34536","130.01304056275706","130.01304056275706","130.01304056275706"
"34539","127.0635263192091","127.0635263192091","127.0635263192091"
"34542","131.82495402770155","131.82495402770155","131.82495402770155"
"34545","133.34515294425356","133.34515294425356","133.34515294425356"
"34548","130.15561746338162","130.15561746338162","130.15561746338162"
"34551","133.20479260447755","133.20479260447755","133.20479260447755"
"34554","126.81410443554532","126.81410443554532","126.81410443554532"
"34557","127.3425063380078","127.3425063380078","127.3425063380078"
"34560","129.68622798834093","129.68622798834093","129.68622798834093"
"34563","138.06782230968375","138.06782230968375","138.06782230968375"
"34566","131.91083111390324","131.91083111390324","131.91083111390324"
"34569","132.73403333047042","132.73403333047042","132.73403333047042"
"34572","127.37095680586661","127.37095680586661","127.37095680586661"
"34575","130.86087450131492","130.86087450131492","130.86087450131492"
"34578","134.3070323829959","134.3070323829959","134.3070323829959"
"34581","133.6367390144545","133.6367390144545","133.6367390144545"
"34584","134.07844555973932","134.07844555973932","134.07844555973932"
"34587","128.30739222783126","128.30739222783126","128.30739222783126"
"34590","130.16154634451217","130.16154634451217","130.16154634451217"
"34593","130.36628585056394","130.36628585056394","130.36628585056394"
"34596","130.36064994072083","130.36064994072083","130.36064994072083"
"34599","128.56631086618117","128.56631086618117","128.56631086618117"
"34602","126.53162488706334","126.53162488706334","126.53162488706334"
"34605","123.51728865359377","123.51728865359377","123.51728865359377"
"34608","124.99432805233249","124.99432805233249","124.99432805233249"
"34611","126.55460871175406","126.55460871175406","126.55460871175406"
"34614","125.81548143370898","125.81548143370898","125.81548143370898"
"34617","132.11587401900883","132.11587401900883","132.11587401900883"
"34620","136.17390005194318","136.17390005194318","136.17390005194318"
"34623","159.24982165609595","159.24982165609595","159.24982165609595"
"34626","136.96173032745264","136.96173032745264","136.96173032745264"
"34629","129.98741441916692","129.98741441916692","129.98741441916692"
"34632","136.9692795844767","136.9692795844767","136.9692795844767"
"34635","128.66093181457916","128.66093181457916","128.66093181457916"
"34638","136.18274421048997","136.18274421048997","136.18274421048997"
"34641","138.07378844672883","138.07378844672883","138.07378844672883"
"34644","135.4608035526317","135.4608035526317","135.4608035526317"
"34647","128.99358810986257","128.99358810986257","128.99358810986257"
"34650","123.05375757394823","123.05375757394823","123.05375757394823"
"34653","123.30746384656885","123.30746384656885","123.30746384656885"
"34656","133.79533232876764","133.79533232876764","133.79533232876764"
"34659","137.97947844928524","137.97947844928524","137.97947844928524"
"34662","138.28632078423456","138.28632078423456","138.28632078423456"
"34665","131.88975671447076","131.88975671447076","131.88975671447076"
"34668","125.21473498297576","125.21473498297576","125.21473498297576"
"34671","129.53415958995242","129.53415958995242","129.53415958995242"
"34674","135.86358742480667","135.86358742480667","135.86358742480667"
"34677","133.8017717975866","133.8017717975866","133.8017717975866"
"34680","128.04079529941396","128.04079529941396","128.04079529941396"
"34683","129.9882408317388","129.9882408317388","129.9882408317388"
"34686","131.64792461464333","131.64792461464333","131.64792461464333"
"34689","133.65678461634428","133.65678461634428","133.65678461634428"
"34692","130.15119743435486","130.15119743435486","130.15119743435486"
"34695","133.87032942158933","133.87032942158933","133.87032942158933"
"34698","134.036344164535","134.036344164535","134.036344164535"
"34701","131.74229545154918","131.74229545154918","131.74229545154918"
"34704","132.82843978655313","132.82843978655313","132.82843978655313"
"34707","132.61343009191037","132.61343009191037","132.61343009191037"
"34712","131.81296548974578","129.0282139863437","133.9941953113572"
"34715","128.3077510340094","125.64095977564054","132.3809008446984"
"34718","129.05373560607595","126.21352433938374","132.4962838988877"
"34721","128.2033302020072","126.54257373860545","130.14812667885286"
"34724","129.1220471829789","126.0860386264406","133.90137976659278"
"34727","133.5106135419465","131.94778463809524","134.64732363440527"
"34730","128.7621992737232","126.42993956857964","133.86806335038182"
"34733","129.62025691264006","127.7577286246283","132.65929597887413"
"34736","134.02885343537838","132.51448096361975","137.4713109298304"
"34739","130.5449466074665","127.78325749463471","132.02112318004063"
"34742","129.93700748545126","125.8782223607279","133.40272894289464"
"34745","130.9982481116446","127.82537453730026","133.68894210888794"
"34748","130.24233315964955","127.2174477917392","133.08250465401545"
"34751","138.0829398064195","133.0202977101251","145.3160153712833"
"34754","127.39765746080649","124.0602307949621","129.25259295035443"
"34757","128.8695999318713","127.36367163025261","131.65860830788407"
"34760","139.14006605670033","131.75065540060265","151.90769393425452"
"34763","132.66754079184352","131.48844522211184","133.32900838229452"
"34766","136.98361109689702","133.18593219622346","143.1285452662711"
"34769","140.056157214384","136.09465273785162","142.1130832378424"
